7	4	3004	64.85
1	3	6929.9	38.5
2	0	2865.7	36.95
3	2	6643.9	17.6
2	0	6613.9	13.2
6	4	5906.6	23.55
3	4	7373.7	16.75
5	3	4347.9	11.85
0	0	6310.4	38.7
5	0	1799.6	47.85
0	2	4937.4	52.4
6	4	6854.5	23.6
2	2	2254.2	39
5	3	3757.5	55.65
7	3	2258.1	14.9
0	2	3679	24.9
3	0	5749.3	45.25
4	4	1653.6	32.7
0	1	4107.6	67.6
5	3	6874.6	33.55
6	1	4918.7	31.3
1	3	7890.3	34.75
4	0	2569.5	62.3
6	3	6826.7	22.4
7	2	4312.9	6.7
5	4	2898.3	8.5
3	0	2647.9	21.1
1	4	3371.1	49.3
2	4	2792	68.05
1	4	3655.6	32.85
5	2	1120.3	55.35
3	4	1242	21
2	0	1772.4	43.8
1	2	5120.4	58.65
3	4	7921.1	63.7
0	0	4854.6	59.5
6	3	4750.8	10.5
5	1	846.9	61.4
6	4	7767.8	63.55
5	1	4414.2	20.15
1	2	3219.1	16.75
0	3	6984.2	56.45
1	0	7470.2	41.9
7	0	2575.7	26.9
1	1	6558.9	22
5	1	3713.4	60.5
4	2	2539.5	20.4
2	2	4059.5	45.25
0	0	7987.2	40.05
2	1	2670.3	65.3
0	4	6658	54.1
0	1	4380.1	48.95
7	0	3637.3	53.85
2	3	3237.1	55.7
